Label,DeltaG_3,logTOF,NCBG_HOMO,NCBG_LUMO,NCBG_I,NCBG_A,NCBG_Hardness,NCBG_Softness,NCBG_Electronegativity,NCBG_E_index,NCBG_N_index,NCBG_PEX,CBG_HOMO,CBG_LUMO,CBG_NBO_N,CBG_NI_rel,CBG_NBO_N-1,CBG_fk-,CBG_Nk,CBG_ENF,BB_HOMO,BB_LUMO,BB_wL,BB_wB1,BB_wB5,BB_vNH,BB_iNH,BB_NBO_N
Cat57,1.1326546,1.977459853,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.237435008,2.195143638,-0.61638,2.697738196,-0.57379,-0.04259,-0.11489667,4.918419257,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat58,-2.853913088,4.544978862,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-10.79884409,3.264279544,3.71,1.99,3.66,3469.7195,36.0433,-0.87269
Cat59,-3.223516168,2.736860405,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.344920038,1.377713182,-0.62757,2.590253166,-0.08879,-0.53878,-1.395576601,3.943269535,-8.68179717,1.303970288,5.35,1.61,6.04,3390.6067,0.3839,-0.82595
Cat60,-0.463101992,3.099312032,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.569686202,1.251996514,-0.83009,2.365487002,-0.76793,-0.06216,-0.147038672,6.576299288,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat61,-3.815885111,3.059295165,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-7.322043512,0.439191996,6.75,1.82,5.7,3495.9003,41.1409,-0.79823
Cat62,3.271206888,0.719918297,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.623836888,1.349957554,-0.83664,2.311336316,-0.35226,-0.48438,-1.119565085,6.069899142,-8.281245362,1.209818844,7.33,1.72,3.78,3501.7542,91.5851,-0.78752
Cat63,0.853412884,1.83533098,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.836630036,2.970940652,-0.62607,2.098543168,-0.04408,-0.58199,-1.221331138,2.589731599,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat64,-2.963727246,4.841655637,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.61512924,2.825359662,-0.63201,2.320043964,-0.05689,-0.57512,-1.334303685,1.86056559,-10.79884409,3.264279544,3.71,1.99,3.66,3469.7195,36.0433,-0.87269
Cat65,-1.895078612,0.366205987,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.514719174,2.762229214,-0.63844,2.42045403,-0.06492,-0.57352,-1.388178795,1.723141016,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat66,-4.661767882,2.696843538,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-7.273879334,1.347236414,8.84,1.78,3.61,3481.3778,29.5629,-0.80745
